#GeneName      	AdrenalGland	BoneMarrow	Breast	Bronchus	Cerebellum	CerebralCortex	CervixUterine	Colon	Duodenum	Endometrium	Epididymis	Esophagus	FallopianTube	GallBladder	HeartMuscle	HippocampalFormation	Kidney	Liver	Lung	LymphNode	Nasopharynx	OralMucosa	Ovary	Pancreas	ParathyroidGland	Placenta	ProstateGland	Rectum	SalivaSecretingGland	SeminalVesicle	SkeletalMuscleTissue	SmallIntestine	SmoothMuscleTissue	SoftTissue	Spleen	Stomach	TelencephalicVentricle	Testis	ThyroidGland	Tonsil	UrinaryBladder	Vagina	VermiformAppendix
GPR143         	           1	         0	     1	       0	         0	             2	            0	    1	       1	          0	         1	        0	            1	          1	          0	                   2	     1	    1	   1	        1	          2	         0	    0	       0	               0	       1	            2	     1	                   0	             2	                   0	             0	                 0	         0	     0	      0	                     1	     1	           0	     1	             2	     0	                0
GPR160         	           0	         2	     2	       3	         1	             1	            3	    1	       1	          0	         1	        3	            1	          1	          1	                   0	     2	    1	   3	        2	          3	         0	    2	       0	               0	       1	            3	     1	                   3	             0	                   1	             2	                 1	         0	     1	      0	                     1	     1	           0	     3	             3	     3	                0
GPR162         	           1	         0	     0	       0	         3	             3	            0	    0	       0	          0	         2	        0	            0	          2	          1	                   1	     1	    0	   1	        0	          0	         0	    0	       2	               2	       0	            0	     1	                   1	             1	                   0	             0	                 0	         0	     0	      0	                     3	     3	           0	     0	             1	     0	                0
GPR17          	           0	         2	     0	       0	         2	             2	            0	    0	       0	          0	         0	        0	            0	          0	          0	                   2	     0	    0	   0	        1	          0	         0	    0	       1	               0	       0	            0	     0	                   0	             0	                   0	             2	                 0	         0	     1	      0	                     2	     0	           0	     1	             0	     0	                1
GPR182         	           0	         0	     0	       0	         0	             0	            0	    1	       1	          0	         0	        0	            0	          0	          3	                   0	     1	    0	   0	        0	          0	         0	    0	       0	               0	       0	            0	     2	                   0	             0	                   0	             2	                 0	         0	     0	      0	                     1	     1	           0	     0	             0	     0	                1
GPR61          	           1	         0	     1	       0	         3	             3	            0	    2	       1	          0	         0	        0	            1	          1	          2	                   3	     1	    1	   0	        0	          1	         0	    0	       0	               0	       1	            0	     0	                   0	             1	                   2	             1	                 0	         0	     0	      0	                     3	     1	           1	     0	             0	     0	                0
GPR62          	           0	         1	     1	       3	         2	             3	            1	    2	       2	          0	         1	        1	            3	          2	          3	                   0	     2	    0	   2	        0	          2	         0	    0	       1	               0	       1	            0	     2	                   1	             0	                   0	             2	                 2	         0	     1	      0	                     1	     3	           1	     1	             1	     0	                2
GPRC5B         	           2	         0	     2	       0	         2	             2	            0	    3	       2	          0	         2	        2	            2	          2	          2	                   1	     3	    1	   2	        1	          2	         0	    2	       2	               2	       2	            1	     2	                   1	             3	                   3	             3	                 0	         0	     0	      0	                     1	     2	           2	     1	             2	     0	                2
GPT            	           1	         0	     0	       1	         0	             0	            0	    3	       2	          0	         0	        1	            1	          3	          0	                   0	     3	    3	   1	        0	          1	         1	    1	       1	               0	       0	            0	     3	                   1	             0	                   1	             2	                 0	         0	     0	      0	                     0	     0	           0	     0	             1	     0	                2
GPX1           	           2	         2	     2	       2	         2	             2	            2	    2	       2	          0	         2	        1	            2	          2	          1	                   2	     3	    2	   3	        2	          2	         1	    3	       2	               3	       0	            2	     1	                   2	             1	                   0	             1	                 0	         0	     0	      0	                     2	     3	           2	     2	             2	     1	                0
GRAMD3         	           2	         1	     2	       2	         1	             1	            1	    3	       2	          0	         2	        1	            3	          2	          1	                   1	     2	    1	   1	        1	          1	         2	    1	       1	               2	       3	            2	     2	                   2	             1	                   1	             2	                 1	         0	     2	      0	                     1	     2	           2	     2	             2	     1	                2
GRAP2          	           1	         1	     0	       1	         0	             1	            0	    1	       1	          0	         0	        0	            0	          1	          0	                   1	     1	    1	   2	        3	          1	         0	    0	       0	               0	       1	            0	     1	                   0	             0	                   0	             1	                 0	         0	     2	      0	                     0	     1	           1	     3	             0	     0	                2
GRASP          	           2	         3	     1	       2	         0	             2	            3	    2	       3	          0	         3	        1	            3	          3	          1	                   2	     2	    2	   1	        2	          1	         1	    0	       3	               0	       3	            2	     2	                   0	             2	                   2	             3	                 0	         0	     2	      0	                     2	     2	           3	     3	             1	     2	                2
GRHL1          	           0	         0	     2	       1	         0	             0	            3	    1	       0	          0	         0	        3	            1	          1	          0	                   0	     1	    2	   0	        0	          2	         3	    0	       0	               0	       3	            1	     0	                   1	             0	                   0	             0	                 0	         0	     0	      0	                     0	     1	           2	     3	             2	     3	                0
GRHPR          	           1	         2	     1	       1	         1	             2	            0	    2	       1	          0	         1	        0	            0	          2	          1	                   1	     2	    2	   2	        1	          2	         0	    0	       2	               0	       2	            0	     1	                   1	             2	                   1	             2	                 2	         0	     2	      0	                     1	     2	           0	     1	             1	     0	                1
GRIA1          	           0	         2	     0	       0	         2	             2	            0	    0	       0	          0	         0	        0	            0	          0	          0	                   1	     1	    0	   0	        2	          0	         0	    0	       0	               0	       0	            0	     0	                   0	             0	                   1	             0	                 0	         0	     0	      0	                     1	     0	           0	     2	             0	     0	                0
GRIA2          	           0	         0	     0	       0	         3	             3	            0	    0	       0	          0	         0	        0	            0	          0	          0	                   3	     0	    0	   0	        0	          0	         0	    0	       0	               0	       0	            0	     0	                   0	             0	                   0	             0	                 0	         0	     0	      0	                     2	     0	           0	     0	             0	     0	                0
GRIN2A         	           0	         0	     0	       2	         3	             2	            0	    0	       1	          0	         0	        0	            2	          2	          0	                   0	     0	    0	   0	        0	          1	         0	    0	       2	               0	       0	            0	     0	                   1	             1	                   0	             2	                 0	         0	     0	      0	                     0	     0	           0	     0	             0	     0	                2
GRK6           	           3	         2	     2	       3	         2	             2	            2	    3	       3	          0	         2	        2	            1	          2	          2	                   2	     3	    0	   2	        3	          3	         0	    2	       2	               3	       3	            2	     3	                   1	             1	                   2	             3	                 1	         0	     3	      0	                     3	     3	           2	     3	             2	     0	                2
GRM1           	           0	         2	     1	       2	         3	             3	            1	    2	       2	          0	         1	        2	            0	          1	          0	                   1	     2	    0	   1	        1	          2	         2	    1	       2	               2	       2	            3	     2	                   1	             1	                   0	             2	                 0	         0	     0	      0	                     2	     1	           1	     2	             0	     1	                2
GRPEL1         	           3	         2	     3	       3	         2	             2	            2	    3	       3	          0	         3	        3	            2	          3	          2	                   0	     3	    2	   3	        3	          2	         3	    1	       3	               3	       3	            2	     3	                   1	             3	                   0	             3	                 1	         0	     3	      0	                     2	     3	           2	     3	             2	     2	                3
GRPEL2         	           3	         2	     2	       3	         2	             3	            3	    3	       2	          0	         2	        2	            2	          2	          2	                   2	     3	    2	   2	        2	          2	         2	    3	       2	               2	       3	            1	     3	                   1	             2	                   2	             3	                 1	         0	     2	      0	                     2	     2	           2	     2	             2	     3	                2
GRSF1          	           3	         1	     2	       2	         2	             2	            2	    3	       3	          0	         2	        3	            2	          3	          2	                   2	     3	    1	   2	        3	          3	         2	    1	       2	               2	       2	            2	     2	                   3	             2	                   2	             2	                 1	         0	     1	      0	                     2	     2	           3	     3	             2	     2	                2
GSN            	           1	         2	     1	       2	         1	             2	            1	    2	       1	          0	         0	        0	            1	          0	          0	                   2	     2	    0	   2	        2	          2	         0	    1	       2	               0	       1	            0	     0	                   2	             0	                   0	             0	                 1	         0	     2	      0	                     2	     0	           0	     1	             0	     0	                0
GSPT1          	           2	         3	     3	       3	         2	             2	            2	    3	       3	          0	         3	        3	            3	          3	          3	                   1	     3	    2	   2	        3	          2	         3	    3	       3	               1	       1	            2	     3	                   3	             3	                   1	             2	                 2	         0	     2	      0	                     1	     3	           2	     3	             3	     2	                3
GSPT2          	           2	         1	     1	       2	         1	             2	            1	    3	       2	          0	         2	        1	            1	          2	          2	                   1	     2	    1	   2	        2	          2	         0	    1	       2	               1	       1	            1	     2	                   1	             2	                   1	             2	                 1	         0	     2	      0	                     2	     2	           1	     2	             2	     0	                2
GSR            	           2	         1	     2	       2	         0	             1	            2	    2	       2	          0	         3	        2	            3	          2	          0	                   0	     2	    2	   2	        2	          2	         2	    2	       2	               2	       2	            2	     2	                   2	             2	                   1	             2	                 0	         0	     2	      0	                     1	     2	           2	     2	             2	     2	                2
