#GeneName      	AdrenalGland	BoneMarrow	Breast	Bronchus	Cerebellum	CerebralCortex	CervixUterine	Colon	Duodenum	Endometrium	Epididymis	Esophagus	FallopianTube	GallBladder	HeartMuscle	HippocampalFormation	Kidney	Liver	Lung	LymphNode	Nasopharynx	OralMucosa	Ovary	Pancreas	ParathyroidGland	Placenta	ProstateGland	Rectum	SalivaSecretingGland	SeminalVesicle	SkeletalMuscleTissue	SmallIntestine	SmoothMuscleTissue	SoftTissue	Spleen	Stomach	TelencephalicVentricle	Testis	ThyroidGland	Tonsil	UrinaryBladder	Vagina	VermiformAppendix
AQP12A         	           0	         0	     0	       0	         0	             0	            0	    0	       0	          0	         3	        0	            0	          0	          0	                   0	     0	    0	   0	        0	          0	         0	    0	       3	               0	       0	            0	     1	                   0	             0	                   0	             1	                 0	         0	     0	      0	                     0	     0	           0	     0	             0	     0	                1
AQP12B         	           0	         0	     0	       0	         0	             0	            0	    0	       0	          0	         3	        0	            0	          0	          0	                   0	     0	    0	   0	        0	          0	         0	    0	       3	               0	       0	            0	     1	                   0	             0	                   0	             1	                 0	         0	     0	      0	                     0	     0	           0	     0	             0	     0	                1
AQP2           	           0	         0	     0	       0	         0	             0	            0	    0	       0	          0	         0	        0	            0	          0	          0	                   0	     2	    0	   0	        0	          0	         0	    0	       0	               0	       0	            0	     0	                   0	             0	                   0	             0	                 0	         0	     0	      0	                     0	     0	           0	     0	             0	     0	                0
AQP3           	           0	         2	     2	       0	         2	             1	            3	    3	       3	          0	         3	        3	            3	          1	          0	                   0	     3	    1	   3	        3	          3	         3	    1	       1	               0	       1	            3	     0	                   3	             3	                   0	             3	                 0	         0	     2	      0	                     0	     0	           0	     3	             3	     3	                2
AQP4           	           0	         0	     0	       0	         0	             3	            0	    0	       0	          0	         0	        0	            0	          0	          0	                   0	     0	    0	   2	        0	          0	         0	    0	       0	               0	       0	            0	     0	                   0	             0	                   0	             0	                 0	         0	     0	      0	                     2	     0	           2	     0	             0	     0	                0
AQP5           	           0	         0	     1	       2	         0	             0	            0	    1	       1	          0	         0	        0	            1	          0	          0	                   0	     0	    0	   0	        0	          2	         0	    0	       2	               0	       0	            0	     1	                   3	             0	                   0	             1	                 0	         0	     0	      0	                     0	     2	           0	     1	             0	     0	                0
AQP6           	           1	         0	     0	       0	         1	             0	            0	    1	       0	          0	         1	        0	            0	          0	          2	                   0	     3	    0	   0	        0	          0	         0	    0	       0	               3	       0	            0	     1	                   0	             0	                   0	             1	                 0	         0	     0	      0	                     0	     0	           0	     0	             0	     0	                0
AR             	           0	         0	     2	       0	         0	             0	            1	    0	       0	          0	         3	        1	            2	          0	          0	                   0	     0	    0	   0	        0	          0	         0	    0	       0	               0	       0	            0	     0	                   0	             3	                   0	             0	                 0	         0	     0	      0	                     0	     2	           0	     0	             0	     0	                0
ARC            	           2	         1	     2	       0	         2	             2	            2	    2	       1	          0	         2	        1	            1	          2	          1	                   1	     1	    2	   2	        1	          2	         2	    1	       2	               1	       2	            1	     2	                   0	             2	                   2	             2	                 1	         0	     1	      0	                     2	     1	           2	     2	             2	     1	                2
ARCN1          	           2	         3	     3	       3	         3	             3	            2	    3	       3	          0	         3	        3	            3	          3	          2	                   2	     2	    2	   3	        3	          3	         2	    2	       3	               2	       3	            2	     3	                   3	             3	                   0	             3	                 0	         0	     2	      0	                     1	     3	           3	     3	             3	     3	                3
ARF1           	           3	         2	     2	       3	         2	             3	            2	    3	       3	          0	         3	        1	            2	          3	          1	                   3	     2	    2	   3	        2	          2	         1	    0	       3	               2	       3	            2	     3	                   2	             2	                   1	             3	                 1	         0	     1	      0	                     3	     3	           2	     2	             3	     1	                2
ARFGAP2        	           2	         3	     2	       3	         2	             2	            2	    3	       3	          0	         2	        3	            2	          3	          1	                   2	     2	    1	   2	        2	          2	         2	    2	       3	               3	       3	            1	     3	                   2	             2	                   1	             2	                 1	         0	     2	      0	                     1	     2	           2	     3	             2	     2	                3
ARFGEF1        	           2	         2	     2	       3	         2	             2	            2	    3	       3	          0	         3	        3	            3	          3	          2	                   2	     2	    1	   2	        2	          3	         1	    3	       2	               2	       3	            2	     3	                   2	             2	                   3	             3	                 2	         0	     2	      0	                     1	     3	           3	     2	             2	     2	                3
ARFGEF2        	           2	         2	     2	       2	         2	             2	            2	    2	       2	          0	         2	        2	            2	          3	          2	                   2	     2	    2	   2	        2	          2	         2	    2	       3	               3	       3	            3	     3	                   1	             2	                   2	             2	                 1	         0	     1	      0	                     1	     2	           2	     3	             3	     1	                3
ARFIP1         	           2	         1	     2	       2	         1	             2	            2	    2	       2	          0	         2	        2	            2	          2	          1	                   1	     2	    2	   2	        1	          2	         2	    1	       2	               2	       2	            2	     2	                   2	             2	                   1	             2	                 0	         0	     1	      0	                     1	     2	           2	     2	             2	     1	                2
ARFIP2         	           2	         0	     3	       2	         1	             2	            2	    2	       0	          0	         1	        1	            2	          2	          1	                   0	     1	    0	   1	        0	          2	         0	    0	       2	               0	       2	            3	     2	                   3	             2	                   0	             2	                 0	         0	     0	      0	                     0	     1	           2	     0	             2	     1	                1
ARFRP1         	           2	         2	     2	       2	         2	             2	            3	    3	       3	          0	         3	        2	            2	          3	          2	                   3	     3	    2	   2	        2	          2	         2	    2	       3	               3	       3	            2	     3	                   2	             2	                   2	             3	                 1	         0	     1	      0	                     3	     2	           2	     2	             2	     2	                3
ARG1           	           0	         1	     0	       0	         0	             0	            0	    0	       0	          0	         0	        0	            0	          0	          0	                   0	     0	    3	   0	        0	          0	         0	    0	       0	               0	       0	            0	     0	                   0	             0	                   0	             0	                 0	         0	     0	      0	                     0	     0	           0	     0	             0	     0	                0
ARG2           	           0	         0	     0	       1	         1	             1	            0	    2	       1	          0	         1	        0	            0	          1	          1	                   1	     2	    1	   0	        0	          1	         0	    0	       2	               2	       1	            3	     1	                   0	             1	                   1	             2	                 0	         0	     0	      0	                     1	     0	           1	     0	             0	     0	                0
ARHGAP12       	           3	         2	     2	       3	         3	             2	            1	    3	       3	          0	         3	        2	            3	          3	          1	                   2	     3	    2	   1	        1	          3	         1	    1	       3	               3	       2	            2	     3	                   2	             2	                   1	             3	                 0	         0	     0	      0	                     2	     2	           3	     2	             3	     1	                3
ARHGAP25       	           0	         2	     3	       0	         0	             2	            0	    1	       0	          0	         0	        0	            0	          0	          1	                   1	     0	    0	   2	        3	          0	         0	    1	       0	               0	       0	            0	     0	                   0	             0	                   0	             0	                 0	         0	     3	      0	                     1	     1	           0	     3	             0	     0	                3
ARHGAP28       	           0	         0	     0	       0	         0	             0	            0	    0	       0	          0	         0	        0	            0	          0	          1	                   0	     1	    0	   0	        0	          0	         0	    0	       0	               0	       0	            0	     0	                   0	             0	                   1	             0	                 0	         0	     0	      0	                     0	     2	           0	     0	             0	     0	                0
ARHGAP29       	           2	         1	     0	       1	         1	             2	            0	    2	       2	          0	         1	        0	            1	          2	          2	                   1	     2	    1	   1	        1	          2	         0	    2	       1	               0	       1	            1	     2	                   0	             1	                   2	             2	                 1	         0	     2	      0	                     0	     2	           1	     1	             1	     0	                2
ARHGAP33       	           2	         2	     2	       2	         1	             2	            2	    2	       2	          0	         1	        2	            1	          2	          1	                   1	     2	    2	   2	        1	          2	         2	    2	       2	               2	       2	            2	     2	                   2	             2	                   2	             2	                 2	         0	     1	      0	                     1	     2	           2	     2	             2	     2	                2
ARHGAP35       	           3	         2	     3	       3	         3	             2	            3	    3	       2	          0	         3	        3	            2	          3	          2	                   2	     3	    2	   2	        2	          3	         3	    2	       3	               3	       3	            3	     3	                   3	             3	                   2	             3	                 2	         0	     3	      0	                     2	     2	           3	     3	             3	     2	                3
ARHGAP4        	           0	         3	     0	       0	         0	             0	            0	    0	       0	          0	         0	        0	            0	          0	          0	                   0	     0	    0	   1	        3	          0	         0	    0	       0	               0	       0	            0	     0	                   0	             0	                   0	             0	                 0	         0	     3	      0	                     0	     0	           0	     2	             0	     0	                2
ARHGAP6        	           3	         2	     2	       0	         2	             2	            2	    3	       3	          0	         2	        3	            2	          3	          2	                   1	     3	    2	   2	        2	          2	         1	    0	       2	               3	       2	            2	     3	                   2	             2	                   1	             3	                 0	         0	     2	      0	                     1	     3	           3	     2	             2	     2	                3
ARHGDIB        	           0	         3	     0	       0	         2	             2	            0	    2	       0	          0	         0	        0	            0	          0	          0	                   2	     1	    0	   2	        2	          0	         0	    0	       0	               0	       1	            0	     0	                   1	             0	                   0	             0	                 0	         0	     2	      0	                     2	     0	           0	     2	             1	     0	                1
ARHGDIG        	           3	         0	     1	       3	         2	             2	            2	    2	       3	          0	         2	        2	            2	          3	          2	                   1	     2	    1	   3	        1	          2	         1	    0	       2	               1	       1	            1	     2	                   1	             1	                   3	             3	                 0	         0	     1	      0	                     0	     2	           2	     1	             2	     0	                2
ARHGEF1        	           0	         2	     1	       1	         0	             0	            1	    2	       1	          0	         1	        1	            1	          0	          0	                   0	     1	    0	   2	        3	          1	         1	    1	       0	               0	       1	            0	     1	                   1	             0	                   0	             1	                 0	         0	     3	      0	                     0	     0	           0	     3	             1	     0	                3
ARHGEF10L      	           2	         2	     2	       2	         2	             2	            2	    3	       3	          0	         2	        2	            2	          2	          2	                   2	     2	    2	   2	        3	          2	         2	    2	       2	               2	       2	            2	     3	                   2	             2	                   2	             3	                 1	         0	     2	      0	                     2	     2	           2	     3	             2	     2	                3
ARHGEF11       	           2	         3	     2	       2	         3	             3	            2	    3	       2	          0	         2	        2	            2	          3	          3	                   2	     2	    2	   2	        3	          3	         2	    3	       3	               2	       2	            1	     3	                   2	             3	                   2	             3	                 3	         0	     2	      0	                     2	     3	           2	     3	             3	     2	                3
ARHGEF12       	           2	         2	     2	       2	         2	             2	            2	    2	       2	          0	         2	        2	            2	          2	          2	                   2	     2	    2	   2	        2	          2	         2	    2	       2	               2	       2	            2	     2	                   2	             2	                   2	             2	                 2	         0	     2	      0	                     2	     2	           2	     2	             2	     2	                2
ARHGEF28       	           2	         2	     2	       2	         3	             2	            2	    3	       3	          0	         3	        2	            3	          2	          3	                   2	     2	    2	   2	        2	          3	         2	    3	       3	               2	       3	            2	     3	                   2	             2	                   0	             3	                 2	         0	     0	      0	                     3	     2	           3	     3	             3	     2	                3
ARHGEF35       	           2	         0	     1	       2	         0	             0	            2	    3	       2	          0	         2	        2	            2	          2	          1	                   0	     1	    0	   1	        0	          2	         2	    0	       2	               0	       1	            2	     2	                   1	             2	                   1	             2	                 0	         0	     0	      0	                     0	     1	           2	     2	             2	     2	                3
ARHGEF7        	           2	         1	     2	       1	         2	             2	            1	    1	       2	          0	         1	        1	            2	          2	          2	                   2	     2	    1	   2	        2	          1	         1	    1	       2	               2	       2	            2	     1	                   0	             2	                   1	             2	                 0	         0	     1	      0	                     2	     2	           1	     2	             2	     1	                2
ARID1A         	           2	         3	     2	       3	         3	             3	            3	    2	       2	          0	         2	        2	            2	          3	          2	                   2	     2	    2	   2	        3	          3	         2	    1	       2	               1	       3	            2	     2	                   2	             2	                   2	             2	                 2	         0	     2	      0	                     3	     2	           2	     3	             3	     2	                2
ARID3B         	           0	         2	     0	       2	         0	             1	            1	    2	       2	          0	         2	        2	            0	          1	          2	                   0	     2	    0	   1	        1	          1	         2	    0	       1	               2	       3	            1	     2	                   1	             0	                   0	             2	                 0	         0	     1	      0	                     1	     3	           0	     2	             1	     2	                1
ARIH1          	           2	         2	     2	       2	         3	             2	            2	    2	       2	          0	         2	        2	            2	          2	          2	                   2	     2	    2	   2	        2	          2	         2	    2	       2	               2	       3	            2	     3	                   2	             2	                   2	             3	                 1	         0	     1	      0	                     2	     2	           3	     2	             2	     2	                2
ARL2           	           2	         1	     2	       2	         2	             2	            2	    3	       2	          0	         3	        2	            3	          3	          2	                   1	     2	    0	   2	        3	          3	         2	    2	       3	               3	       3	            2	     3	                   2	             2	                   2	             3	                 1	         0	     2	      0	                     2	     3	           2	     3	             2	     2	                2
ARL6IP5        	           2	         1	     2	       2	         2	             2	            2	    2	       3	          0	         2	        1	            2	          2	          1	                   2	     2	    2	   2	        2	          2	         1	    1	       2	               2	       3	            2	     2	                   2	             2	                   1	             2	                 1	         0	     2	      0	                     2	     3	           1	     2	             2	     1	                2
ARL8A          	           2	         1	     1	       2	         1	             2	            2	    2	       1	          0	         2	        1	            1	          2	          1	                   1	     1	    1	   2	        0	          2	         1	    0	       1	               1	       2	            1	     1	                   2	             2	                   0	             1	                 1	         0	     0	      0	                     1	     2	           2	     1	             2	     0	                1
ARL8B          	           3	         1	     1	       2	         1	             3	            1	    2	       2	          0	         2	        1	            1	          2	          1	                   2	     2	    1	   2	        1	          2	         1	    0	       2	               1	       3	            1	     2	                   2	             2	                   0	             2	                 1	         0	     0	      0	                     2	     2	           2	     1	             2	     1	                2
ARMC10         	           2	         1	     2	       2	         2	             2	            2	    2	       2	          0	         2	        1	            3	          2	          1	                   2	     2	    2	   2	        2	          2	         2	    2	       2	               3	       2	            2	     2	                   1	             2	                   1	             2	                 1	         0	     1	      0	                     2	     3	           3	     2	             3	     1	                2
ARMC3          	           1	         0	     0	       3	         3	             1	            0	    2	       2	          0	         0	        1	            3	          2	          0	                   0	     2	    0	   1	        0	          3	         2	    0	       2	               0	       2	            1	     2	                   0	             0	                   0	             2	                 0	         0	     0	      0	                     0	     3	           1	     1	             2	     1	                2
ARMC8          	           3	         2	     2	       3	         2	             2	            3	    2	       2	          0	         2	        2	            2	          2	          2	                   1	     2	    0	   2	        0	          3	         2	    2	       3	               1	       2	            1	     2	                   2	             2	                   3	             2	                 2	         0	     1	      0	                     1	     3	           2	     2	             1	     2	                2
ARMC9          	           2	         2	     2	       3	         2	             2	            3	    2	       3	          0	         2	        3	            2	          2	          2	                   2	     2	    1	   2	        2	          3	         3	    1	       2	               2	       3	            2	     2	                   2	             2	                   1	             3	                 2	         0	     0	      0	                     2	     2	           1	     3	             3	     3	                2
ARMCX1         	           2	         0	     2	       2	         0	             1	            2	    2	       2	          0	         1	        2	            2	          2	          2	                   0	     2	    0	   2	        0	          2	         2	    1	       2	               2	       2	            1	     2	                   2	             2	                   2	             2	                 2	         0	     0	      0	                     1	     1	           2	     1	             2	     2	                0
ARMT1          	           2	         1	     2	       2	         2	             2	            2	    2	       2	          0	         2	        0	            2	          2	          2	                   2	     2	    0	   2	        1	          2	         0	    1	       2	               2	       2	            2	     2	                   2	             2	                   1	             2	                 1	         0	     1	      0	                     0	     2	           2	     1	             2	     0	                2
ARNT           	           2	         2	     2	       1	         0	             2	            2	    2	       2	          0	         1	        2	            3	          2	          0	                   2	     2	    1	   2	        2	          2	         2	    2	       1	               1	       3	            1	     1	                   2	             1	                   2	             2	                 1	         0	     1	      0	                     2	     2	           2	     2	             2	     2	                2
ARNTL          	           3	         3	     2	       2	         2	             2	            2	    2	       2	          0	         2	        2	            2	          2	          3	                   3	     2	    2	   2	        3	          2	         2	    2	       3	               2	       3	            3	     2	                   3	             2	                   2	             2	                 2	         0	     2	      0	                     1	     2	           2	     3	             2	     2	                2
ARPC1A         	           3	         1	     2	       2	         3	             2	            2	    3	       2	          0	         2	        2	            3	          3	          0	                   2	     3	    2	   2	        2	          2	         2	    2	       3	               3	       2	            2	     3	                   2	             3	                   0	             2	                 1	         0	     1	      0	                     2	     3	           2	     3	             3	     2	                3
ARPP21         	           0	         0	     0	       0	         0	             2	            0	    1	       1	          0	         1	        0	            0	          0	          0	                   0	     0	    0	   0	        0	          0	         0	    0	       1	               0	       0	            0	     1	                   2	             0	                   2	             1	                 0	         0	     0	      0	                     2	     1	           0	     0	             1	     0	                1
ARSA           	           3	         1	     2	       2	         2	             2	            2	    3	       3	          0	         2	        1	            3	          3	          2	                   2	     2	    3	   2	        2	          2	         1	    1	       3	               3	       2	            3	     2	                   2	             3	                   1	             3	                 1	         0	     1	      0	                     2	     2	           3	     2	             2	     1	                2
ARSB           	           2	         2	     2	       2	         2	             2	            3	    1	       2	          0	         2	        1	            2	          2	          3	                   2	     3	    2	   2	        1	          2	         1	    0	       2	               2	       2	            2	     1	                   2	             2	                   1	             2	                 2	         0	     1	      0	                     2	     2	           2	     2	             2	     1	                2
ARSD           	           3	         3	     3	       3	         3	             3	            3	    3	       3	          0	         3	        3	            3	          3	          3	                   3	     3	    3	   3	        3	          3	         1	    2	       3	               3	       3	            3	     3	                   3	             3	                   3	             2	                 3	         0	     3	      0	                     3	     3	           3	     3	             3	     3	                3
ARSF           	           1	         1	     2	       1	         0	             1	            2	    1	       2	          0	         3	        0	            2	          2	          0	                   1	     3	    2	   1	        0	          2	         1	    1	       2	               1	       3	            2	     1	                   2	             2	                   0	             1	                 1	         0	     1	      0	                     1	     1	           1	     1	             2	     2	                1
ARSG           	           0	         0	     0	       0	         0	             0	            0	    0	       0	          0	         0	        0	            0	          0	          0	                   0	     0	    0	   0	        0	          0	         0	    0	       3	               0	       0	            0	     0	                   0	             0	                   0	             0	                 0	         0	     0	      0	                     0	     0	           0	     0	             0	     0	                0
ART3           	           2	         0	     0	       0	         0	             1	            0	    0	       0	          0	         0	        0	            0	          0	          1	                   0	     0	    0	   1	        0	          0	         0	    0	       0	               0	       0	            0	     0	                   0	             0	                   0	             0	                 0	         0	     0	      0	                     0	     3	           0	     0	             0	     0	                0
AS3MT          	           3	         1	     2	       2	         2	             2	            2	    3	       3	          0	         2	        2	            1	          3	          3	                   1	     2	    2	   1	        1	          2	         1	    1	       3	               3	       1	            1	     3	                   1	             2	                   2	             3	                 2	         0	     1	      0	                     1	     2	           2	     2	             2	     1	                3
ASAH1          	           3	         2	     0	       2	         2	             3	            2	    2	       2	          0	         3	        1	            2	          3	          3	                   2	     3	    2	   3	        2	          2	         1	    0	       2	               2	       1	            3	     2	                   2	             3	                   2	             2	                 1	         0	     3	      0	                     3	     3	           3	     0	             3	     1	                2
ASAP1          	           3	         2	     3	       3	         2	             2	            2	    3	       3	          0	         3	        2	            2	          3	          3	                   1	     3	    3	   2	        2	          3	         2	    1	       3	               2	       3	            3	     3	                   3	             2	                   0	             3	                 2	         0	     2	      0	                     1	     2	           3	     3	             3	     2	                3
ASB6           	           2	         2	     2	       2	         2	             2	            2	    3	       3	          0	         2	        1	            3	          2	          1	                   2	     2	    2	   2	        2	          2	         2	    1	       3	               2	       3	            1	     2	                   2	             2	                   1	             3	                 1	         0	     0	      0	                     0	     2	           2	     2	             2	     2	                2
ASB8           	           2	         2	     2	       2	         3	             3	            1	    0	       2	          0	         2	        1	            2	          3	          2	                   2	     3	    2	   2	        2	          0	         2	    2	       3	               2	       3	            2	     2	                   2	             1	                   1	             2	                 0	         0	     2	      0	                     1	     3	           1	     2	             3	     2	                2
ASB9           	           0	         0	     0	       0	         0	             0	            0	    0	       0	          0	         0	        0	            0	          0	          0	                   0	     1	    0	   0	        0	          0	         0	    0	       3	               0	       0	            0	     0	                   0	             0	                   0	             0	                 0	         0	     0	      0	                     0	     3	           0	     0	             0	     0	                0
ASCC3          	           3	         2	     3	       3	         3	             2	            3	    3	       3	          0	         3	        3	            3	          3	          3	                   2	     3	    2	   2	        3	          3	         3	    3	       3	               3	       3	            2	     3	                   2	             2	                   3	             3	                 2	         0	     1	      0	                     3	     2	           2	     3	             3	     3	                3
ASGR1          	           0	         0	     0	       0	         0	             0	            0	    0	       0	          0	         0	        0	            0	          1	          0	                   0	     0	    3	   0	        0	          0	         0	    0	       0	               0	       0	            0	     0	                   0	             0	                   0	             0	                 0	         0	     0	      0	                     0	     0	           0	     0	             0	     0	                0
ASGR2          	           0	         0	     0	       0	         0	             0	            0	    0	       0	          0	         0	        0	            0	          0	          0	                   0	     0	    2	   0	        0	          0	         0	    0	       0	               0	       0	            0	     0	                   0	             0	                   0	             0	                 0	         0	     0	      0	                     0	     0	           0	     0	             0	     0	                0
ASH1L          	           2	         1	     0	       2	         0	             1	            2	    1	       0	          0	         2	        2	            2	          2	          0	                   0	     0	    0	   2	        0	          2	         1	    1	       3	               2	       3	            1	     1	                   2	             0	                   0	             0	                 0	         0	     0	      0	                     2	     2	           0	     0	             2	     1	                0
ASL            	           0	         0	     0	       0	         0	             0	            0	    0	       0	          0	         0	        0	            0	          1	          0	                   0	     2	    3	   0	        0	          0	         0	    0	       0	               0	       0	            0	     0	                   0	             0	                   0	             0	                 0	         0	     1	      0	                     0	     0	           0	     0	             0	     0	                0
ASMTL          	           1	         2	     3	       2	         2	             3	            2	    3	       2	          0	         3	        1	            3	          2	          2	                   2	     3	    2	   0	        2	          2	         2	    3	       3	               2	       2	            3	     3	                   2	             3	                   2	             2	                 2	         0	     2	      0	                     2	     3	           3	     3	             2	     1	                3
ASNA1          	           2	         1	     2	       3	         3	             2	            2	    2	       3	          0	         3	        2	            3	          2	          1	                   2	     3	    0	   2	        2	          2	         3	    3	       2	               1	       2	            2	     3	                   2	             2	                   0	             3	                 0	         0	     1	      0	                     2	     3	           3	     3	             3	     2	                2
ASPA           	           1	         2	     0	       1	         2	             2	            1	    2	       2	          0	         2	        0	            0	          2	          2	                   2	     3	    2	   0	        2	          1	         1	    0	       1	               1	       2	            2	     2	                   0	             1	                   1	             2	                 1	         0	     2	      0	                     2	     1	           2	     2	             2	     0	                2
ASPH           	           3	         1	     3	       3	         3	             3	            2	    3	       2	          0	         2	        2	            1	          2	          0	                   3	     2	    0	   2	        0	          3	         1	    2	       3	               0	       2	            1	     3	                   3	             2	                   0	             2	                 1	         0	     0	      0	                     3	     3	           2	     2	             3	     1	                2
ASPHD1         	           1	         0	     1	       1	         1	             2	            1	    1	       1	          0	         0	        1	            1	          2	          1	                   1	     2	    2	   2	        1	          1	         0	    0	       2	               1	       2	            2	     1	                   0	             0	                   0	             2	                 2	         0	     2	      0	                     1	     2	           0	     1	             1	     0	                0
ASPRV1         	           0	         0	     0	       0	         0	             0	            2	    0	       0	          0	         0	        0	            0	          0	          0	                   0	     0	    0	   0	        0	          0	         1	    0	       0	               0	       0	            0	     0	                   0	             0	                   0	             0	                 0	         0	     0	      0	                     0	     0	           0	     0	             0	     0	                0
ASRGL1         	           0	         0	     1	       2	         1	             2	            3	    1	       1	          0	         1	        0	            3	          2	          0	                   2	     2	    0	   0	        0	          2	         0	    0	       1	               0	       1	            1	     0	                   1	             1	                   1	             1	                 1	         0	     0	      0	                     2	     3	           2	     0	             1	     0	                1
ASS1           	           3	         1	     1	       3	         3	             2	            2	    2	       2	          0	         1	        2	            3	          3	          1	                   1	     3	    3	   2	        0	          3	         2	    2	       1	               0	       3	            1	     2	                   2	             3	                   1	             2	                 1	         0	     0	      0	                     1	     3	           3	     1	             3	     1	                2
ASTE1          	           1	         1	     2	       3	         0	             1	            3	    1	       1	          0	         2	        3	            1	          2	          1	                   0	     2	    1	   2	        0	          3	         3	    0	       1	               0	       1	            3	     1	                   2	             3	                   1	             1	                 1	         0	     1	      0	                     0	     2	           1	     3	             3	     3	                1
ATAD2          	           1	         3	     1	       1	         0	             1	            2	    2	       2	          0	         2	        2	            2	          2	          0	                   0	     2	    0	   0	        2	          1	         3	    0	       0	               1	       1	            1	     2	                   2	             1	                   0	             3	                 0	         0	     2	      0	                     0	     3	           0	     2	             1	     2	                2
ATCAY          	           1	         0	     0	       0	         2	             2	            0	    2	       0	          0	         2	        0	            0	          0	          0	                   0	     0	    0	   0	        0	          0	         0	    0	       0	               0	       0	            0	     0	                   0	             0	                   2	             0	                 0	         0	     0	      0	                     0	     1	           0	     0	             0	     0	                0
ATF1           	           3	         2	     2	       2	         2	             2	            2	    3	       3	          0	         3	        1	            3	          3	          1	                   2	     3	    2	   2	        2	          1	         1	    2	       3	               3	       3	            2	     3	                   2	             2	                   1	             3	                 2	         0	     2	      0	                     2	     3	           3	     2	             3	     1	                2
ATF2           	           3	         2	     2	       2	         3	             2	            2	    2	       2	          0	         2	        2	            2	          1	          1	                   3	     2	    2	   2	        2	          2	         1	    2	       3	               1	       3	            3	     2	                   2	             2	                   0	             2	                 1	         0	     2	      0	                     2	     2	           3	     2	             2	     1	                1
ATF7IP         	           2	         1	     2	       1	         2	             2	            3	    2	       2	          0	         2	        3	            2	          2	          1	                   1	     2	    0	   1	        2	          1	         3	    1	       2	               2	       2	            1	     2	                   2	             2	                   0	             2	                 0	         0	     2	      0	                     2	     2	           2	     3	             3	     3	                2
ATG3           	           3	         2	     1	       2	         3	             2	            2	    3	       3	          0	         0	        1	            1	          2	          1	                   2	     3	    2	   1	        0	          1	         1	    0	       2	               2	       2	            3	     3	                   1	             1	                   0	             3	                 1	         0	     2	      0	                     2	     3	           2	     1	             1	     1	                2
ATG4A          	           2	         3	     1	       1	         2	             2	            2	    3	       3	          0	         2	        3	            2	          3	          2	                   2	     3	    2	   2	        3	          2	         2	    0	       3	               2	       3	            2	     3	                   3	             2	                   3	             3	                 2	         0	     3	      0	                     1	     3	           2	     3	             2	     2	                3
ATG4B          	           3	         3	     3	       3	         3	             3	            3	    3	       3	          0	         3	        3	            3	          3	          3	                   2	     3	    2	   2	        3	          3	         3	    3	       3	               2	       3	            3	     3	                   2	             3	                   2	             3	                 2	         0	     3	      0	                     3	     3	           3	     3	             3	     3	                3
